method,rank,query_artist,query_song,query_genre,match_artist,match_song,match_genre,score,hit
raw dot product,2,The Black Keys,When The Lights Go Out,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1781.0,False
raw dot product,1,The Black Keys,Have Love Will Travel,blues,Erykah Badu,I Want You,r&b/soul,2215.0,False
raw dot product,2,The Black Keys,Have Love Will Travel,blues,Lauryn Hill,Interlude 5,r&b/soul,2205.0,False
raw dot product,1,Ray Charles,C.C. Rider,blues,Lauryn Hill,Interlude 5,r&b/soul,7547.0,False
raw dot product,2,Ray Charles,C.C. Rider,blues,Twista,I'm A Winner (Amended Album Version),hip hop,6158.0,False
raw dot product,1,Ray Charles,I Got a Woman,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2251.0,False
raw dot product,2,Ray Charles,I Got a Woman,blues,Lauryn Hill,Interlude 5,r&b/soul,2160.0,False
raw dot product,1,Ray Charles,The Sun's Gonna Shine Again,blues,Lauryn Hill,Interlude 5,r&b/soul,2103.0,False
raw dot product,2,Ray Charles,The Sun's Gonna Shine Again,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1440.0,False
raw dot product,1,Ray Charles,Losing Hand,blues,Lauryn Hill,Interlude 5,r&b/soul,3227.0,False
raw dot product,2,Ray Charles,Losing Hand,blues,Twista,I'm A Winner (Amended Album Version),hip hop,2963.0,False
raw dot product,1,Blake Shelton,Nobody But Me (Album Version),blues,Lauryn Hill,Interlude 5,r&b/soul,4601.0,False
raw dot product,2,Blake Shelton,Nobody But Me (Album Version),blues,Twista,I'm A Winner (Amended Album Version),hip hop,3701.0,False
raw dot product,1,Etta James,A Sunday Kind of Love,blues,Lauryn Hill,Interlude 5,r&b/soul,2268.0,False
raw dot product,2,Etta James,A Sunday Kind of Love,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2092.0,False
raw dot product,1,Etta James,I Just Want To Make Love To You,blues,Lauryn Hill,Interlude 5,r&b/soul,7889.0,False
raw dot product,2,Etta James,I Just Want To Make Love To You,blues,Twista,I'm A Winner (Amended Album Version),hip hop,7104.0,False
raw dot product,1,Etta James,My Dearest Darling,blues,Lauryn Hill,Interlude 5,r&b/soul,1609.0,False
raw dot product,2,Etta James,My Dearest Darling,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1603.0,False
raw dot product,1,Etta James,W.O.M.A.N.,blues,Lauryn Hill,Interlude 5,r&b/soul,2237.0,False
raw dot product,2,Etta James,W.O.M.A.N.,blues,Electrelane,Cut And Run,punk,1879.0,False
raw dot product,1,Eric Clapton,Alberta,blues,Lauryn Hill,Interlude 5,r&b/soul,1647.0,False
raw dot product,2,Eric Clapton,Alberta,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1532.0,False
raw dot product,1,Eric Clapton,Before You Accuse Me (Take A Look At Yourself),blues,Lauryn Hill,Interlude 5,r&b/soul,1431.0,False
raw dot product,2,Eric Clapton,Before You Accuse Me (Take A Look At Yourself),blues,Eminem,My Darling,hip hop,1312.0,False
raw dot product,1,Eric Clapton,Early In The Morning,blues,Lauryn Hill,Interlude 5,r&b/soul,2719.0,False
raw dot product,2,Eric Clapton,Early In The Morning,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2110.0,False
raw dot product,1,Eric Clapton,Floating Bridge,blues,Lauryn Hill,Interlude 5,r&b/soul,2423.0,False
raw dot product,2,Eric Clapton,Floating Bridge,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2285.0,False
raw dot product,1,Eric Clapton,Kind Hearted Woman Blues (Album Version),blues,Lauryn Hill,Interlude 5,r&b/soul,1804.0,False
raw dot product,2,Eric Clapton,Kind Hearted Woman Blues (Album Version),blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1711.0,False
raw dot product,1,Michael Bublé,That's All (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,4289.0,False
raw dot product,2,Michael Bublé,That's All (Album Version),classical,Twista,I'm A Winner (Amended Album Version),hip hop,2974.0,False
raw dot product,1,Josh Groban,America (Revised Live Version),classical,Lauryn Hill,Interlude 5,r&b/soul,2325.0,False
raw dot product,2,Josh Groban,America (Revised Live Version),classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2240.0,False
raw dot product,1,Josh Groban,Broken Vow (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,4866.0,False
raw dot product,2,Josh Groban,Broken Vow (Album Version),classical,Twista,I'm A Winner (Amended Album Version),hip hop,4115.0,False
raw dot product,1,Josh Groban,Gira Con Me Questa Notte (Album Version),classical,Abba,Move On,pop,1407.0,False
raw dot product,2,Josh Groban,Gira Con Me Questa Notte (Album Version),classical,Horace Andy,Horse With No Name,reggae,1321.0,False
raw dot product,1,Josh Groban,Hymne A L'Amour (Album Version),classical,Tryo,Yakamonéyé,reggae,923.0,False
raw dot product,2,Josh Groban,Hymne A L'Amour (Album Version),classical,Fonky Family,L'Amour Du Risque,hip hop,917.0,False
raw dot product,1,Josh Groban,It Came Upon A Midnight Clear (Album Version),classical,The Streets,Weak Become Heroes,hip hop,1169.0,False
raw dot product,2,Josh Groban,It Came Upon A Midnight Clear (Album Version),classical,Travis,Sing,pop,949.0,False
raw dot product,1,Josh Groban,Let Me Fall (From Cirque du Soleil) (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,2200.0,False
raw dot product,2,Josh Groban,Let Me Fall (From Cirque du Soleil) (Album Version),classical,Eminem,8 Mile,hip hop,2187.0,False
raw dot product,1,Josh Groban,Mi Mancherai (Il Postino) (Revised Live Version),classical,Shaggy,Luv Me Up,reggae,663.0,False
raw dot product,2,Josh Groban,Mi Mancherai (Il Postino) (Revised Live Version),classical,Fabrizio De Andrè,Sinan Capudan Pascià,folk,500.0,False
raw dot product,1,Josh Groban,My Confession (Album Version),classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3830.0,False
raw dot product,2,Josh Groban,My Confession (Album Version),classical,Eminem,8 Mile,hip hop,3532.0,False
raw dot product,1,Josh Groban,Oceano (Revised Live Version),classical,Flaminio Maphia,Quelli Che,hip hop,765.0,False
raw dot product,2,Josh Groban,Oceano (Revised Live Version),classical,Fabrizio De Andrè,Sinan Capudan Pascià,folk,631.0,False
raw dot product,1,Josh Groban,Remember When It Rained (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,1644.0,False
raw dot product,2,Josh Groban,Remember When It Rained (Album Version),classical,Michael Jackson,Man In The Mirror,pop,1486.0,False
raw dot product,1,Josh Groban,Remember When It Rained (Revised Live Version),classical,Lauryn Hill,Interlude 5,r&b/soul,1644.0,False
raw dot product,2,Josh Groban,Remember When It Rained (Revised Live Version),classical,Michael Jackson,Man In The Mirror,pop,1486.0,False
raw dot product,1,Josh Groban,Smile,classical,Lauryn Hill,Interlude 5,r&b/soul,2716.0,False
raw dot product,2,Josh Groban,Smile,classical,Twista,I'm A Winner (Amended Album Version),hip hop,2258.0,False
raw dot product,1,Josh Groban,Solo Por Ti (Album Version),classical,Abba,Move On,pop,1405.0,False
raw dot product,2,Josh Groban,Solo Por Ti (Album Version),classical,Horace Andy,Horse With No Name,reggae,1331.0,False
raw dot product,1,Josh Groban,Un Giorno Per Noi (Album Version),classical,The Pharcyde,Otha Fish,hip hop,378.0,False
raw dot product,2,Josh Groban,Un Giorno Per Noi (Album Version),classical,Abba,Move On,pop,373.0,False
raw dot product,1,Josh Groban,Vincent (Starry_ Starry Night) (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,4657.0,False
raw dot product,2,Josh Groban,Vincent (Starry_ Starry Night) (Album Version),classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2949.0,False
raw dot product,1,Josh Groban,When You Say You Love Me (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,7162.0,False
raw dot product,2,Josh Groban,When You Say You Love Me (Album Version),classical,Twista,I'm A Winner (Amended Album Version),hip hop,6206.0,False
raw dot product,1,Josh Groban,You Raise Me Up (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,4545.0,False
raw dot product,2,Josh Groban,You Raise Me Up (Album Version),classical,Twista,I'm A Winner (Amended Album Version),hip hop,4530.0,False
raw dot product,1,Josh Groban,Believe (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,2718.0,False
raw dot product,2,Josh Groban,Believe (Album Version),classical,Twista,I'm A Winner (Amended Album Version),hip hop,2074.0,False
raw dot product,1,Johnny Cash,Away In A Manger,classical,Lauryn Hill,Interlude 5,r&b/soul,824.0,False
raw dot product,2,Johnny Cash,Away In A Manger,classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,787.0,False
raw dot product,1,Josh Groban,Cinema Paradiso (Se) (Album Version),classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,311.0,False
raw dot product,2,Josh Groban,Cinema Paradiso (Se) (Album Version),classical,Flaminio Maphia,Quelli Che,hip hop,305.0,False
raw dot product,1,David Crowder*Band,All Around Me,classical,Lauryn Hill,Interlude 5,r&b/soul,5833.0,False
raw dot product,2,David Crowder*Band,All Around Me,classical,Twista,I'm A Winner (Amended Album Version),hip hop,5385.0,False
raw dot product,1,The Game,Black Opera,classical,Lauryn Hill,Interlude 5,r&b/soul,15262.0,False
raw dot product,2,The Game,Black Opera,classical,Twista,I'm A Winner (Amended Album Version),hip hop,14936.0,False
raw dot product,1,David Bowie,Baal's Hymn,classical,Lauryn Hill,Interlude 5,r&b/soul,2626.0,False
raw dot product,2,David Bowie,Baal's Hymn,classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2184.0,False
raw dot product,1,Il Divo,Adagio,classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,545.0,False
raw dot product,2,Il Divo,Adagio,classical,Flaminio Maphia,Quelli Che,hip hop,487.0,False
raw dot product,1,Il Divo,Adeste Fideles,classical,Vanilla Ice,It's A Party,hip hop,666.0,False
raw dot product,2,Il Divo,Adeste Fideles,classical,Black Eyed Peas,Tell Your Momma Come,hip hop,391.0,False
raw dot product,1,Il Divo,All By Myself (Solo Otra Vez),classical,Los Van Van,El Negro Está Cocinando,latin,666.0,False
raw dot product,2,Il Divo,All By Myself (Solo Otra Vez),classical,Willie Colon,Gitana,latin,657.0,False
raw dot product,1,Il Divo,Amazing Grace,classical,Lauryn Hill,Interlude 5,r&b/soul,2069.0,False
raw dot product,2,Il Divo,Amazing Grace,classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1701.0,False
raw dot product,1,Il Divo,Angelina,classical,Violadores del Verso,Dale tiempo al rumor,hip hop,1313.0,False
raw dot product,2,Il Divo,Angelina,classical,Violadores del Verso,Cantando,hip hop,1097.0,False
raw dot product,1,Il Divo,Ave Maria,classical,Abba,Move On,pop,468.0,False
raw dot product,2,Il Divo,Ave Maria,classical,Horace Andy,Horse With No Name,reggae,434.0,False
raw dot product,1,Il Divo,Caruso,classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,690.0,False
raw dot product,2,Il Divo,Caruso,classical,Fabrizio De Andrè,Sinan Capudan Pascià,folk,518.0,False
raw dot product,1,Il Divo,Come Primavera,classical,Abba,Move On,pop,1560.0,False
raw dot product,2,Il Divo,Come Primavera,classical,Horace Andy,Horse With No Name,reggae,1442.0,False
raw dot product,1,Il Divo,Dentro Un Altro Si,classical,Flaminio Maphia,Quelli Che,hip hop,353.0,False
raw dot product,2,Il Divo,Dentro Un Altro Si,classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,344.0,False
raw dot product,1,Il Divo,En Aranjuez Con Tu Amor,classical,Violadores del Verso,Dale tiempo al rumor,hip hop,1672.0,False
raw dot product,2,Il Divo,En Aranjuez Con Tu Amor,classical,Violadores del Verso,Cantando,hip hop,1408.0,False
raw dot product,1,Il Divo,Enamorado,classical,Violadores del Verso,Dale tiempo al rumor,hip hop,563.0,False
raw dot product,2,Il Divo,Enamorado,classical,Johnny Prez,Te Vuelvo Loca,reggae,560.0,False
raw dot product,1,Il Divo,Esisti Dentro Me,classical,Elvis Crespo,Tu Sonrisa,latin,541.0,False
raw dot product,2,Il Divo,Esisti Dentro Me,classical,Daddy Yankee,Como Y Vete,reggae,456.0,False
raw dot product,1,Il Divo,Everytime I Look At You,classical,Lauryn Hill,Interlude 5,r&b/soul,4220.0,False
raw dot product,2,Il Divo,Everytime I Look At You,classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3609.0,False
raw dot product,1,Il Divo,Feelings,classical,Dean Martin,I've Grown Accustomed To Her Face,jazz,806.0,False
raw dot product,2,Il Divo,Feelings,classical,Us3,Can U Feel It?,jazz,617.0,False
raw dot product,1,Il Divo,Hallelujah (Aleluya),classical,Violadores del Verso,Dale tiempo al rumor,hip hop,1339.0,False
raw dot product,2,Il Divo,Hallelujah (Aleluya),classical,Violadores del Verso,Cantando,hip hop,1195.0,False
raw dot product,1,Il Divo,Hasta Mi Final,classical,Violadores del Verso,Dale tiempo al rumor,hip hop,637.0,False
raw dot product,2,Il Divo,Hasta Mi Final,classical,Johnny Prez,Te Vuelvo Loca,reggae,496.0,False
raw dot product,1,Taylor Swift,Crazier,country,Lauryn Hill,Interlude 5,r&b/soul,5210.0,False
raw dot product,2,Taylor Swift,Crazier,country,Twista,I'm A Winner (Amended Album Version),hip hop,4547.0,False
raw dot product,1,Taylor Swift,Fifteen,country,Lauryn Hill,Interlude 5,r&b/soul,9661.0,False
raw dot product,2,Taylor Swift,Fifteen,country,Twista,I'm A Winner (Amended Album Version),hip hop,7351.0,False
raw dot product,1,Taylor Swift,Change,country,Lauryn Hill,Interlude 5,r&b/soul,4066.0,False
raw dot product,2,Taylor Swift,Change,country,Vanilla Ice,Ice Is Workin' It,hip hop,2498.0,False
raw dot product,1,Toby Keith,You Can't Read My Mind,country,Lauryn Hill,Interlude 5,r&b/soul,5014.0,False
raw dot product,2,Toby Keith,You Can't Read My Mind,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3924.0,False
raw dot product,1,Johnny Cash,Man In White,country,Lauryn Hill,Interlude 5,r&b/soul,6988.0,False
raw dot product,2,Johnny Cash,Man In White,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,6505.0,False
raw dot product,1,Rascal Flatts,Holes,country,Lauryn Hill,Interlude 5,r&b/soul,4084.0,False
raw dot product,2,Rascal Flatts,Holes,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3243.0,False
raw dot product,1,Sugarland,Baby Girl,country,Lauryn Hill,Interlude 5,r&b/soul,5955.0,False
raw dot product,2,Sugarland,Baby Girl,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,5550.0,False
raw dot product,1,Billy Currington,Growin' Up Down There,country,Lauryn Hill,Interlude 5,r&b/soul,2515.0,False
raw dot product,2,Billy Currington,Growin' Up Down There,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2423.0,False
raw dot product,1,Billy Currington,Hangin' Around,country,Lauryn Hill,Interlude 5,r&b/soul,5022.0,False
raw dot product,2,Billy Currington,Hangin' Around,country,Twista,I'm A Winner (Amended Album Version),hip hop,4542.0,False
raw dot product,1,Billy Currington,Here I Am,country,Lauryn Hill,Interlude 5,r&b/soul,3109.0,False
raw dot product,2,Billy Currington,Here I Am,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2835.0,False
raw dot product,1,Billy Currington,She's Got A Way With Me,country,Lauryn Hill,Interlude 5,r&b/soul,2809.0,False
raw dot product,2,Billy Currington,She's Got A Way With Me,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2606.0,False
raw dot product,1,Billy Currington,That's How Country Boys Roll,country,Lauryn Hill,Interlude 5,r&b/soul,3190.0,False
raw dot product,2,Billy Currington,That's How Country Boys Roll,country,Michael Jackson,Man In The Mirror,pop,2087.0,False
raw dot product,1,Billy Currington,Where The Girls Are,country,Lauryn Hill,Interlude 5,r&b/soul,3566.0,False
raw dot product,2,Billy Currington,Where The Girls Are,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2353.0,False
raw dot product,1,Johnny Cash,Daddy Sang Bass,country,Lauryn Hill,Interlude 5,r&b/soul,2915.0,False
raw dot product,2,Johnny Cash,Daddy Sang Bass,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2559.0,False
raw dot product,1,Johnny Cash,I Don't Know Where I'm Bound,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,4199.0,False
raw dot product,2,Johnny Cash,I Don't Know Where I'm Bound,country,Eminem,8 Mile,hip hop,4173.0,False
raw dot product,1,Johnny Cash,I Was There When It Happened,country,Lauryn Hill,Interlude 5,r&b/soul,4157.0,False
raw dot product,2,Johnny Cash,I Was There When It Happened,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3696.0,False
raw dot product,1,Johnny Cash,The Big Battle,country,Lauryn Hill,Interlude 5,r&b/soul,3952.0,False
raw dot product,2,Johnny Cash,The Big Battle,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3028.0,False
raw dot product,1,Johnny Cash,A Thing Called Love,country,Lauryn Hill,Interlude 5,r&b/soul,2983.0,False
raw dot product,2,Johnny Cash,A Thing Called Love,country,Michael Jackson,Man In The Mirror,pop,2310.0,False
raw dot product,1,Johnny Cash,You Dreamer You,country,Lauryn Hill,Interlude 5,r&b/soul,4434.0,False
raw dot product,2,Johnny Cash,You Dreamer You,country,Twista,I'm A Winner (Amended Album Version),hip hop,3783.0,False
raw dot product,1,Johnny Cash,I Walk The Line,country,Lauryn Hill,Interlude 5,r&b/soul,3771.0,False
raw dot product,2,Johnny Cash,I Walk The Line,country,Twista,I'm A Winner (Amended Album Version),hip hop,3353.0,False
raw dot product,1,Johnny Cash,Life's Railway To Heaven,country,Lauryn Hill,Interlude 5,r&b/soul,629.0,False
raw dot product,2,Johnny Cash,Life's Railway To Heaven,country,Michael Jackson,Man In The Mirror,pop,486.0,False
raw dot product,1,Darius Rucker,If I Had Wings,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3022.0,False
raw dot product,2,Darius Rucker,If I Had Wings,country,Lauryn Hill,Interlude 5,r&b/soul,3006.0,False
raw dot product,1,Luke Bryan,Pray About Everything,country,Mindless Self Indulgence,Never Wanted to Dance,punk,2125.0,False
raw dot product,2,Luke Bryan,Pray About Everything,country,Lauryn Hill,Interlude 5,r&b/soul,2120.0,False
raw dot product,1,Keith Urban,Your Everything,country,Lauryn Hill,Interlude 5,r&b/soul,6064.0,False
raw dot product,2,Keith Urban,Your Everything,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,4590.0,False
raw dot product,1,Toby Keith,A Little Too Late,country,Lauryn Hill,Interlude 5,r&b/soul,2668.0,False
raw dot product,2,Toby Keith,A Little Too Late,country,Michael Jackson,Man In The Mirror,pop,1994.0,False
raw dot product,1,Toby Keith,Who's Your Daddy?,country,Lauryn Hill,Interlude 5,r&b/soul,3735.0,False
raw dot product,2,Toby Keith,Who's Your Daddy?,country,Twista,I'm A Winner (Amended Album Version),hip hop,3243.0,False
raw dot product,1,Toby Keith,A Woman's Touch,country,Lauryn Hill,Interlude 5,r&b/soul,1783.0,False
raw dot product,2,Toby Keith,A Woman's Touch,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1706.0,False
raw dot product,1,Toby Keith,Big Ol' Truck,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3201.0,False
raw dot product,2,Toby Keith,Big Ol' Truck,country,Lauryn Hill,Interlude 5,r&b/soul,3016.0,False
raw dot product,1,Toby Keith,Blue Bedroom,country,Lauryn Hill,Interlude 5,r&b/soul,4244.0,False
raw dot product,2,Toby Keith,Blue Bedroom,country,Twista,I'm A Winner (Amended Album Version),hip hop,3642.0,False
raw dot product,1,Toby Keith,It's All Good,country,Lauryn Hill,Interlude 5,r&b/soul,3697.0,False
raw dot product,2,Toby Keith,It's All Good,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3044.0,False
raw dot product,1,Toby Keith,Sweet,country,Lauryn Hill,Interlude 5,r&b/soul,6004.0,False
raw dot product,2,Toby Keith,Sweet,country,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,5723.0,False
raw dot product,1,Toby Keith,You Shouldn't Kiss Me Like This,country,Lauryn Hill,Interlude 5,r&b/soul,5745.0,False
raw dot product,2,Toby Keith,You Shouldn't Kiss Me Like This,country,Twista,I'm A Winner (Amended Album Version),hip hop,4144.0,False
raw dot product,1,Sara Evans,A Real Fine Place To Start,country,Lauryn Hill,Interlude 5,r&b/soul,3085.0,False
raw dot product,2,Sara Evans,A Real Fine Place To Start,country,Twista,I'm A Winner (Amended Album Version),hip hop,2497.0,False
