word,doc_freq,total_count,idf
los,346,894,4.1379970329032645
lose,416,787,3.9542355910513227
lost,613,1100,3.5673268847029815
lot,295,508,4.296962358526064
love,2735,11359,2.073069534107683
lover,226,488,4.562371795368721
lovin,142,348,5.024477182590217
low,241,426,4.498384086693438
lyric,164,335,4.8813763389495435
m,111,332,5.26882294155503
ma,220,656,4.589159111332371
mad,232,374,4.536283359284424
made,725,1165,3.399771798025328
mai,185,537,4.761575139136923
make,2123,5188,2.3262654304882946
mal,164,346,4.8813763389495435
mama,216,629,4.607424459309664
man,1412,3358,2.7338514301655965
mani,503,818,3.7647455447787554
mar,130,259,5.112124489648973
mas,235,592,4.523490007824513
matter,340,575,4.155439335566607
may,347,654,4.13511933307565
mayb,404,776,3.983434745743585
me,5420,30038,1.3892862335897858
mean,588,1067,3.6088956291985372
meant,169,308,4.851523375799863
meet,285,435,4.331330002030271
mein,84,327,5.544670556359807
memori,258,436,4.4304937511505855
men,277,484,4.359700699159487
mess,173,291,4.828266513635596
met,218,310,4.598250083033623
mi,645,3013,3.516522309067522
mich,86,292,5.52141369419554
might,491,786,3.788843096357816
mile,155,271,4.937465805600587
million,171,258,4.839827336036671
mind,1169,2224,2.922562785058322
mine,532,1079,3.7088003886842795
minut,167,246,4.863357833446865
mir,89,320,5.487512142519859
mis,192,388,4.724631623945239
miss,364,781,4.087424459267632
mit,91,261,5.465533235801083
moment,285,488,4.331330002030271
mon,116,353,5.2251478780523675
money,410,820,3.968728598353889
moon,277,533,4.359700699159487
more,1341,2966,2.785405495318497
morn,377,623,4.052427617230537
most,241,330,4.498384086693438
mother,250,392,4.461868873718339
mouth,205,323,4.659445644060543
move,602,1312,3.5854046161229385
much,855,1638,3.235051436708382
music,402,852,3.988385250903441
must,516,943,3.7392789383416947
my,4595,22900,1.5543801738814778
myself,543,908,3.6883725659941815
n,110,346,5.27779161153779
na,156,1050,4.931076007501816
nada,173,357,4.828266513635596
name,668,1211,3.4815377527218954
ne,162,424,4.893571612043361
near,241,346,4.498384086693438
need,1339,3141,2.7868969199051667
never,2029,5085,2.3715307408142907
new,750,1495,3.3659161610859893
next,350,537,4.126535589384258
ni,171,417,4.839827336036671
nice,193,362,4.7194636537867956
nicht,119,626,5.199830070068078
nigga,207,1089,4.649783733148806
niggaz,92,340,5.454722319696868
night,1487,3019,2.682133597457087
no,3542,13952,1.814592707984652
nobodi,321,650,4.212770267305716
noch,225,446,4.5667868135778384
non,148,530,4.983375506904665
nos,172,408,4.8340302183523445
not,4961,26239,1.4777576485983777
noth,834,1673,3.2598900879992683
nothin,193,322,4.7194636537867956
now,2664,7260,2.099362476250179
nowher,154,248,4.943896695930878
number,170,278,4.845658256347464
nunca,148,322,4.983375506904665
nur,89,282,5.487512142519859
o,342,1003,4.149591365684184
of,4785,18706,1.5138715443818054
off,839,1634,3.2539199210127645
oh,1807,6580,2.4873452718980023
ohh,98,270,5.392201962715534
old,641,1103,3.5227335091601626
on,4220,15385,1.639494467067625
onc,481,719,3.8093776987995236
one,2371,6076,2.215833052732508
onli,1222,2330,2.8782596771629514
ooh,288,981,4.320895124737692
open,486,810,3.799057689767534
or,1339,2570,2.7868969199051667
other,577,861,3.6277479441777465
otra,124,276,5.159008075547823
our,1070,2467,3.010973742402375
out,2429,5890,2.1916752765155296
outsid,170,293,4.845658256347464
over,978,2300,3.1007901703196135
own,567,938,3.6452003941289726
pa,108,349,5.29597393062098
pain,544,907,3.68653601818688
para,318,941,4.222130710065279
part,344,604,4.1437773958187645
parti,206,560,4.654603019584755
pas,138,742,5.052847879719432
pass,401,639,3.990869724231103
past,298,406,4.286878239459437
pay,296,460,4.293589674047425
peac,241,431,4.498384086693438
peopl,735,1419,3.3860916941212476
per,100,274,5.372201296008864
perfect,197,287,4.699054782155589
pero,258,593,4.4304937511505855
phone,194,267,4.714322254286377
pick,233,348,4.532000697492423
pictur,192,268,4.724631623945239
piec,194,363,4.714322254286377
place,795,1420,3.307722627005741
plan,255,405,4.4421443683705615
play,741,1408,3.3779725696827434
pleas,545,1077,3.684702837105219
plus,187,437,4.7508798500201745
point,200,282,4.684016904791048
por,484,1579,3.8031729219126404
porqu,196,477,4.704118084112135
pour,226,601,4.562371795368721
power,231,414,4.540584441183814
pray,253,478,4.449987545831587
pretti,238,404,4.510858260918614
problem,154,248,4.943896695930878
promis,265,444,4.403825504068425
puedo,120,305,5.191531267253382
pull,304,479,4.267010036242713
push,181,312,4.783315125773329
put,737,1349,3.3833779882496513
que,929,8655,3.1521372267028225
qui,178,625,4.799936007009369
quien,99,249,5.382151626862033
quier,117,282,5.2166371883844596
quiero,264,938,4.407591986863902
quit,222,360,4.580150041390006
rain,400,784,3.993360385543555
rais,157,260,4.924726779823157
rap,168,302,4.85742309792705
reach,316,491,4.2284200389728435
read,195,294,4.709207153619607
readi,307,722,4.25722202987655
real,513,1072,3.7450985473949587
realli,678,1338,3.466700685291428
reason,303,492,4.270294111443903
red,293,554,4.303742045511442
rememb,443,819,3.891497250417899
repeat,192,295,4.724631623945239
rest,314,479,4.234749174024491
rhyme,190,316,4.735048384803495
ride,345,706,4.140883037792399
right,1476,3330,2.689553530318744
ring,258,391,4.4304937511505855
rise,265,545,4.403825504068425
river,164,287,4.8813763389495435
road,320,623,4.215880689720108
rock,384,1039,4.034078478562339
roll,352,827,4.120853755916827
room,317,436,4.225270430069948
round,331,614,4.182186843933636
rule,175,278,4.816837817811972
run,842,1688,3.2503548548482684
s,164,624,4.8813763389495435
sabe,126,260,5.143134726391533
sad,280,484,4.348967143516378
said,1050,2277,3.029824441973173
same,634,1118,3.533696813957432
save,296,510,4.293589674047425
saw,365,542,4.084688479448758
say,1989,4922,2.3914318951315856
scream,268,414,4.392610433248285
se,730,2485,3.3929083531003457
sea,356,668,4.109586031070485
search,166,268,4.869328000433368
second,195,304,4.709207153619607
secret,175,258,4.816837817811972
see,2356,5299,2.2221769099139927
seem,623,955,3.5511714444806963
seen,396,665,4.003385532162934
send,192,330,4.724631623945239
sens,176,253,4.811172080276295
ser,194,420,4.714322254286377
set,380,677,4.044522437723423
shadow,206,337,4.654603019584755
shake,202,465,4.674115833808337
share,219,335,4.593694266497762
she,1194,5884,2.901420348484513
shine,360,583,4.098443854517242
shit,358,1008,4.103999424361845
shoe,161,250,4.899725477617739
shot,214,400,4.616683784722461
should,668,1266,3.4815377527218954
show,754,1323,3.3606040636010994
si,541,1776,3.692055811410478
sick,198,328,4.6940169881256315
side,434,783,3.91197578176144
sie,78,420,5.617873960383102
siempr,155,358,4.937465805600587
sight,181,254,4.783315125773329
sign,212,318,4.626029647140699
sin,451,1068,3.8736396330178926
sinc,331,513,4.182186843933636
sing,534,1236,3.7050550659541175
sit,404,616,3.983434745743585
skin,238,354,4.510858260918614
sky,559,962,3.659385029120929
sleep,467,778,3.838853516932477
slip,165,248,4.875334024493581
slow,261,479,4.418977309089027
smile,525,860,3.722020600112414
smoke,245,405,4.481990276917761
so,3665,10076,1.7804653844504736
solo,277,621,4.359700699159487
some,1170,2349,2.9217084492524066
somebodi,267,488,4.396334832339267
someday,135,276,5.074666927114072
someon,486,946,3.799057689767534
someth,711,1454,3.4192439014381484
sometim,329,581,4.188229158389598
somewher,161,267,4.899725477617739
son,397,638,4.000869807565686
song,585,1198,3.614002023273111
soon,304,526,4.267010036242713
sorri,162,375,4.893571612043361
soul,658,1236,3.4965982783476166
sound,510,894,3.7509522226464194
soy,187,460,4.7508798500201745
speak,257,365,4.434362227928506
spend,196,303,4.704118084112135
stand,686,1238,3.4549875206277747
star,448,734,3.8802989251078697
stare,173,252,4.828266513635596
start,792,1389,3.311498591215276
stay,763,1504,3.3487540236836035
step,324,629,4.2034966305203865
still,1123,2084,2.9626727823964876
stone,177,306,4.805538262558039
stop,720,1601,3.406682675565175
stori,221,308,4.5846444309778445
straight,260,392,4.42280140552743
street,560,968,3.657600907327428
strong,321,538,4.212770267305716
stuck,133,262,5.089482012899213
style,195,307,4.709207153619607
su,214,468,4.616683784722461
such,270,430,4.385202991970424
summer,173,397,4.828266513635596
sun,602,1040,3.5854046161229385
sure,454,738,3.8670243938991735
sweet,457,929,3.860452628735939
t,142,431,5.024477182590217
ta,96,265,5.412610834346741
take,1891,4163,2.4419320632383004
talk,643,1224,3.5196230867457703
tan,213,399,4.621345797828273
tast,187,258,4.7508798500201745
te,672,3097,3.4755764832053964
tear,549,911,3.677403534623607
tell,1433,3026,2.7190987916905582
tengo,154,339,4.943896695930878
than,734,1347,3.3874513136372872
thank,153,258,4.950369210436495
that,4597,17819,1.5539451075269972
their,692,1226,3.4462918136602205
them,963,1877,3.116230518239578
then,1284,2464,2.828807815520804
there,2439,5750,2.1875684945628766
these,689,1372,3.450630215258819
they,2081,6046,2.34623756367521
thing,1520,3020,2.660198520590831
think,1396,2926,2.745239453593162
this,2951,8571,1.997083627129761
those,541,876,3.692055811410478
though,407,616,3.9760546384459623
thought,753,1254,3.361929444842168
three,258,410,4.4304937511505855
through,1427,2556,2.7232916699505942
throw,213,381,4.621345797828273
ti,289,912,4.317440889869604
tiempo,135,281,5.074666927114072
tien,158,306,4.918417610629893
tight,222,337,4.580150041390006
til,253,492,4.449987545831587
till,433,764,3.914277278749719
time,2544,6127,2.1454358838655008
tire,255,451,4.4421443683705615
today,343,638,4.146680155476726
todo,313,814,4.237928826941871
togeth,411,910,3.9662984635005976
told,466,834,3.8409925551812267
tomorrow,215,400,4.612043405165959
tonight,446,1186,3.884763218236555
too,1226,2495,2.8749943681392125
took,417,599,3.951840380325368
top,230,333,4.5449041023283305
touch,459,879,3.8560953233669832
tout,123,482,5.167040247245088
town,404,760,3.983434745743585
train,185,409,4.761575139136923
treat,155,287,4.937465805600587
tree,242,345,4.4942603695095755
tri,1255,2593,2.85163446582198
troubl,210,382,4.635463679374057
true,532,926,3.7088003886842795
trust,204,299,4.664311833711716
truth,326,559,4.19736164195287
tryin,176,313,4.811172080276295
tu,679,3186,3.4652290146799714
turn,964,1903,3.115193711511138
tus,184,421,4.766965987771799
two,593,1046,3.600442493487479
u,66,350,5.782629193459158
uh,158,589,4.918417610629893
um,129,377,5.119787362394542
un,790,2872,3.31402384508247
una,431,1027,3.9188962246060135
und,134,1182,5.082047034411694
under,311,456,4.244318625040641
understand,420,621,3.9446889791677426
une,98,276,5.392201962715534
until,389,657,4.0211750737264325
up,2542,7417,2.1462220474280045
upon,270,405,4.385202991970424
us,936,2160,3.1446385306117017
use,678,1240,3.466700685291428
va,204,489,4.664311833711716
ven,56,255,5.9442705450155735
ver,131,273,5.104519890263753
veri,270,442,4.385202991970424
vers,163,306,4.887455385025925
vez,178,395,4.799936007009369
vida,279,678,4.3525322096808745
voic,301,426,4.276894795475254
voy,154,399,4.943896695930878
wait,767,1644,3.343532079702452
wake,276,507,4.363304306662785
walk,865,1580,3.2234369042876887
wall,326,523,4.19736164195287
wanna,886,2900,3.1994768305405445
want,1785,4916,2.4995880514136797
war,313,714,4.237928826941871
warm,190,294,4.735048384803495
was,2110,5583,2.3324047650018036
wast,214,429,4.616683784722461
watch,625,1109,3.5479714417500254
water,275,433,4.366920947132974
wave,155,245,4.937465805600587
way,1915,4312,2.429326854319318
we,2898,13516,2.0152006839284686
wear,208,374,4.644987560885313
well,1163,2525,2.927704184558741
went,353,490,4.1180248997163496
were,958,1818,3.1214307379666857
what,2938,8888,2.0014971464312064
when,3009,7954,1.9776264551072025
where,1452,3164,2.7059361492798413
whi,1019,2324,3.059763906571807
which,208,328,4.644987560885313
while,662,997,3.4905468226642613
whisper,184,264,4.766965987771799
white,286,498,4.327839597090502
who,1298,2940,2.817971796179524
whoa,94,410,5.433444921249583
whole,349,581,4.129388658366665
wie,95,366,5.422973621382288
wild,195,370,4.709207153619607
will,3486,11820,1.8305247661744728
win,170,280,4.845658256347464
wind,338,530,4.161321705469674
window,217,306,4.602826750061035
wir,60,280,5.876447948676812
wish,423,775,3.937588357618166
wit,146,430,4.996889226071388
with,3248,9271,1.9012192771810237
within,174,270,4.82253583892661
without,533,988,3.706925973889929
wo,970,2141,3.108995344558799
woman,316,805,4.2284200389728435
wonder,395,652,4.005907601595643
word,793,1313,3.310238351602988
work,458,872,3.858271602789579
world,1203,2560,2.8939171869813576
worri,210,478,4.635463679374057
would,1839,4454,2.469800962247093
write,186,300,4.756213195995537
wrong,602,1041,3.5854046161229385
y,765,4854,3.3461396431095327
ya,783,2488,3.322912792499716
yall,197,509,4.699054782155589
yea,107,412,5.305190585725904
yeah,1280,4857,2.83192551095339
year,499,781,3.7727137144279324
yes,519,1147,3.733493001274651
yet,234,351,4.527736298705966
yo,735,2710,3.3860916941212476
you,5671,61818,1.3440247446381606
young,280,477,4.348967143516378
your,3885,16446,1.7221861829127385
yourself,344,677,4.1437773958187645
zu,107,386,5.305190585725904
